ticket_id,categorie
INC-4101,Mobiel Toestel
INC-4102,Security
INC-4105,Printer
INC-4110,Security
INC-4111,Toegang & Accounts
INC-4113,Overig
INC-4116,Toegang & Accounts
INC-4117,Hardware
INC-4119,Overig
INC-4120,Applicatieondersteuning
INC-4122,Toegang & Accounts
INC-4123,Overig
INC-4124,Toegang & Accounts
INC-4125,Software
INC-4126,Overig
INC-4127,Netwerk
INC-4129,Applicatieondersteuning
INC-4130,Toegang & Accounts
INC-4131,Mobiel Toestel
INC-4134,Software
INC-4136,Toegang & Accounts
INC-4138,Security
INC-4140,Applicatieondersteuning
INC-4143,Toegang & Accounts
INC-4144,Printer
INC-4146,Applicatieondersteuning
INC-4147,Hardware
INC-4152,Applicatieondersteuning
INC-4153,Toegang & Accounts
INC-4158,Mobiel Toestel
INC-4160,Applicatieondersteuning
INC-4161,Overig
INC-4162,Mobiel Toestel
INC-4167,Toegang & Accounts
INC-4169,Hardware
INC-4170,Toegang & Accounts
INC-4171,Netwerk
INC-4172,Security
INC-4173,Toegang & Accounts
INC-4176,Security
INC-4181,Security
INC-4186,Printer
INC-4187,Mobiel Toestel
INC-4190,Security
INC-4193,Mobiel Toestel
INC-4195,Applicatieondersteuning
INC-4197,Mobiel Toestel
INC-4202,Mobiel Toestel
INC-4207,Applicatieondersteuning
INC-4212,Netwerk
INC-4213,Security
INC-4216,Printer
INC-4221,Overig
INC-4226,Software
INC-4229,Hardware
INC-4232,Applicatieondersteuning
INC-4234,Overig
INC-4239,Toegang & Accounts
INC-4241,Hardware
INC-4246,Software
INC-4247,Security
INC-4250,Hardware
INC-4255,Applicatieondersteuning
INC-4256,Toegang & Accounts
INC-4257,Netwerk
INC-4258,Software
INC-4259,Software
INC-4261,Netwerk
INC-4264,Hardware
INC-4265 ,Software
INC-4267,Printer
INC-4269,Printer
INC-4270,Software
INC-4271,Netwerk
INC-4273,Hardware
INC-4274 ,Overig
INC-4276,Hardware
INC-4279,Overig
INC-4282,Hardware
INC-4284,Applicatieondersteuning
INC-4286,Netwerk
INC-4288,Hardware
INC-4290,Printer
INC-4295,Security
INC-4297,Toegang & Accounts
INC-4299,Security
INC-4300,Toegang & Accounts
INC-4303,Software
INC-4304,Netwerk
INC-4305,Software
INC-4308,Mobiel Toestel
INC-4309,Netwerk
INC-4311,Printer
INC-4316,Netwerk
INC-4318,Applicatieondersteuning
INC-4320,Overig
INC-4321,Netwerk
INC-4324,Printer
INC-4325,Netwerk
INC-4328,Netwerk
